season,race_name,fullname,numero_quali,tiempo_ms
2021,Belgian Grand Prix,Pierre Gasly,3,121164.0
2021,Belgian Grand Prix,Sebastian Vettel,1,120175.0
2021,Belgian Grand Prix,Sebastian Vettel,2,116814.0
2021,Belgian Grand Prix,Sebastian Vettel,3,120935.0
2021,Belgian Grand Prix,Sergio Pérez,1,119334.0
2021,Belgian Grand Prix,Sergio Pérez,2,116886.0
2021,Belgian Grand Prix,Sergio Pérez,3,122112.0
2021,Belgian Grand Prix,Valtteri Bottas,1,119870.0
2021,Belgian Grand Prix,Valtteri Bottas,2,116295.0
2021,Belgian Grand Prix,Valtteri Bottas,3,122502.0
2021,Belgian Grand Prix,Yuki Tsunoda,1,122413.0
2021,Belgian Grand Prix,Yuki Tsunoda,2,0.0
2021,Belgian Grand Prix,Yuki Tsunoda,3,0.0
2021,British Grand Prix,Antonio Giovinazzi,1,87595.0
2021,British Grand Prix,Antonio Giovinazzi,2,87617.0
2021,British Grand Prix,Antonio Giovinazzi,3,0.0
2021,British Grand Prix,Carlos Sainz,1,87337.0
2021,British Grand Prix,Carlos Sainz,2,86848.0
2021,British Grand Prix,Carlos Sainz,3,87007.0
2021,British Grand Prix,Charles Leclerc,1,87051.0
2021,British Grand Prix,Charles Leclerc,2,86919.0
2021,British Grand Prix,Charles Leclerc,3,86828.0
2021,British Grand Prix,Daniel Ricciardo,1,87323.0
2021,British Grand Prix,Daniel Ricciardo,2,87125.0
2021,British Grand Prix,Daniel Ricciardo,3,86899.0
2021,British Grand Prix,Esteban Ocon,1,87415.0
2021,British Grand Prix,Esteban Ocon,2,87340.0
2021,British Grand Prix,Esteban Ocon,3,0.0
2021,British Grand Prix,Fernando Alonso,1,87580.0
2021,British Grand Prix,Fernando Alonso,2,87245.0
2021,British Grand Prix,Fernando Alonso,3,0.0
2021,British Grand Prix,George Russell,1,87671.0
2021,British Grand Prix,George Russell,2,87080.0
2021,British Grand Prix,George Russell,3,86971.0
2021,British Grand Prix,Kimi Räikkönen,1,88062.0
2021,British Grand Prix,Kimi Räikkönen,2,0.0
2021,British Grand Prix,Kimi Räikkönen,3,0.0
2021,British Grand Prix,Lance Stroll,1,88017.0
2021,British Grand Prix,Lance Stroll,2,87665.0
2021,British Grand Prix,Lance Stroll,3,0.0
2021,British Grand Prix,Lando Norris,1,87444.0
2021,British Grand Prix,Lando Norris,2,87220.0
2021,British Grand Prix,Lando Norris,3,86897.0
2021,British Grand Prix,Lewis Hamilton,1,86786.0
2021,British Grand Prix,Lewis Hamilton,2,86023.0
2021,British Grand Prix,Lewis Hamilton,3,86134.0
2021,British Grand Prix,Max Verstappen,1,86751.0
2021,British Grand Prix,Max Verstappen,2,86315.0
2021,British Grand Prix,Max Verstappen,3,86209.0
2021,British Grand Prix,Mick Schumacher,1,88738.0
2021,British Grand Prix,Mick Schumacher,2,0.0
2021,British Grand Prix,Mick Schumacher,3,0.0
2021,British Grand Prix,Nicholas Latifi,1,88254.0
2021,British Grand Prix,Nicholas Latifi,2,0.0
2021,British Grand Prix,Nicholas Latifi,3,0.0
2021,British Grand Prix,Nikita Mazepin,1,89051.0
2021,British Grand Prix,Nikita Mazepin,2,0.0
2021,British Grand Prix,Nikita Mazepin,3,0.0
2021,British Grand Prix,Pierre Gasly,1,87600.0
2021,British Grand Prix,Pierre Gasly,2,87273.0
2021,British Grand Prix,Pierre Gasly,3,0.0
2021,British Grand Prix,Sebastian Vettel,1,87493.0
2021,British Grand Prix,Sebastian Vettel,2,87103.0
2021,British Grand Prix,Sebastian Vettel,3,87179.0
2021,British Grand Prix,Sergio Pérez,1,87121.0
2021,British Grand Prix,Sergio Pérez,2,87073.0
2021,British Grand Prix,Sergio Pérez,3,86844.0
2021,British Grand Prix,Valtteri Bottas,1,87487.0
2021,British Grand Prix,Valtteri Bottas,2,86764.0
2021,British Grand Prix,Valtteri Bottas,3,86328.0
2021,British Grand Prix,Yuki Tsunoda,1,88043.0
2021,British Grand Prix,Yuki Tsunoda,2,0.0
2021,British Grand Prix,Yuki Tsunoda,3,0.0
2021,Dutch Grand Prix,Antonio Giovinazzi,1,70050.0
2021,Dutch Grand Prix,Antonio Giovinazzi,2,70033.0
2021,Dutch Grand Prix,Antonio Giovinazzi,3,69590.0
2021,Dutch Grand Prix,Carlos Sainz,1,70022.0
2021,Dutch Grand Prix,Carlos Sainz,2,69870.0
2021,Dutch Grand Prix,Carlos Sainz,3,69537.0
2021,Dutch Grand Prix,Charles Leclerc,1,69829.0
2021,Dutch Grand Prix,Charles Leclerc,2,69437.0
2021,Dutch Grand Prix,Charles Leclerc,3,69527.0
2021,Dutch Grand Prix,Daniel Ricciardo,1,70255.0
2021,Dutch Grand Prix,Daniel Ricciardo,2,69865.0
2021,Dutch Grand Prix,Daniel Ricciardo,3,70166.0
2021,Dutch Grand Prix,Esteban Ocon,1,70179.0
2021,Dutch Grand Prix,Esteban Ocon,2,69919.0
2021,Dutch Grand Prix,Esteban Ocon,3,69933.0
2021,Dutch Grand Prix,Fernando Alonso,1,70435.0
2021,Dutch Grand Prix,Fernando Alonso,2,70020.0
2021,Dutch Grand Prix,Fernando Alonso,3,69956.0
2021,Dutch Grand Prix,George Russell,1,70382.0
2021,Dutch Grand Prix,George Russell,2,70332.0
2021,Dutch Grand Prix,George Russell,3,0.0
2021,Dutch Grand Prix,Lance Stroll,1,70438.0
2021,Dutch Grand Prix,Lance Stroll,2,70367.0
2021,Dutch Grand Prix,Lance Stroll,3,0.0
2021,Dutch Grand Prix,Lando Norris,1,70489.0
2021,Dutch Grand Prix,Lando Norris,2,70406.0
2021,Dutch Grand Prix,Lando Norris,3,0.0
2021,Dutch Grand Prix,Lewis Hamilton,1,70114.0
2021,Dutch Grand Prix,Lewis Hamilton,2,69726.0
2021,Dutch Grand Prix,Lewis Hamilton,3,68923.0
2021,Dutch Grand Prix,Max Verstappen,1,70036.0
2021,Dutch Grand Prix,Max Verstappen,2,69071.0
2021,Dutch Grand Prix,Max Verstappen,3,68885.0
2021,Dutch Grand Prix,Mick Schumacher,1,71387.0
2021,Dutch Grand Prix,Mick Schumacher,2,0.0
2021,Dutch Grand Prix,Mick Schumacher,3,0.0
2021,Dutch Grand Prix,Nicholas Latifi,1,70093.0
2021,Dutch Grand Prix,Nicholas Latifi,2,71161.0
2021,Dutch Grand Prix,Nicholas Latifi,3,0.0
2021,Dutch Grand Prix,Nikita Mazepin,1,71875.0
2021,Dutch Grand Prix,Nikita Mazepin,2,0.0
2021,Dutch Grand Prix,Nikita Mazepin,3,0.0
2021,Dutch Grand Prix,Pierre Gasly,1,70274.0
2021,Dutch Grand Prix,Pierre Gasly,2,69541.0
2021,Dutch Grand Prix,Pierre Gasly,3,69478.0
2021,Dutch Grand Prix,Robert Kubica,1,71301.0
2021,Dutch Grand Prix,Robert Kubica,2,0.0
2021,Dutch Grand Prix,Robert Kubica,3,0.0
2021,Dutch Grand Prix,Sebastian Vettel,1,70731.0
2021,Dutch Grand Prix,Sebastian Vettel,2,0.0
2021,Dutch Grand Prix,Sebastian Vettel,3,0.0
2021,Dutch Grand Prix,Sergio Pérez,1,70530.0
2021,Dutch Grand Prix,Sergio Pérez,2,0.0
2021,Dutch Grand Prix,Sergio Pérez,3,0.0
2021,Dutch Grand Prix,Valtteri Bottas,1,70219.0
2021,Dutch Grand Prix,Valtteri Bottas,2,69769.0
2021,Dutch Grand Prix,Valtteri Bottas,3,69222.0
2021,Dutch Grand Prix,Yuki Tsunoda,1,70462.0
